Id, Latency
1, 1244
2, 1245
3, 1245
4, 1245
5, 1243
6, 1258
7, 1250
8, 1263
9, 1247
10, 1267
11, 1244
12, 1271
13, 1244
14, 1247
15, 1245
16, 1255
17, 1243
18, 1251
19, 1281
20, 1245
21, 1245
22, 1255
23, 1278
24, 1245
25, 1267
26, 1244
27, 1243
28, 1243
29, 1245
30, 1257
31, 1337
32, 1317
33, 1246
34, 1285
35, 1264
36, 1301
37, 1270
38, 1263
39, 1275
40, 1263
41, 1277
42, 1274
43, 1258
44, 1247
45, 1244
46, 1327
47, 1245
48, 1262
49, 1243
50, 1311
51, 1243
52, 1278
53, 1276
54, 1270
55, 1257
56, 1243
57, 1255
58, 1243
59, 1268
60, 1256
61, 1356
62, 1255
63, 1282
64, 1253
65, 1245
66, 1288
67, 1260
68, 1265
69, 1253
70, 1259
71, 1274
72, 1274
73, 1244
74, 1290
75, 1243
76, 1276
77, 1255
78, 1243
79, 1243
80, 1269
81, 1245
82, 1291
83, 1338
84, 1252
85, 1249
86, 1257
87, 1335
88, 1284
89, 1275
90, 1309
91, 1266
92, 1255
93, 1276
94, 1247
95, 1279
96, 1259
97, 1280
98, 1243
99, 1277
100, 1243
101, 1273
102, 1243
103, 1255
104, 1257
105, 1244
106, 1250
107, 1245
108, 1284
109, 1289
110, 1335
111, 1261
112, 1269
113, 1243
114, 1246
115, 1249
116, 1248
117, 1276
118, 1244
119, 1260
120, 1245
121, 1246
122, 1301
123, 1264
124, 1278
125, 1307
126, 1262
127, 1251
128, 1261
129, 1268
130, 1255
131, 1255
132, 1245
133, 1315
134, 1243
135, 1289
136, 1263
137, 1279
138, 1267
139, 1273
140, 1265
141, 1294
142, 1254
143, 1243
144, 1264
145, 1280
146, 1255
147, 1269
148, 1287
149, 1271
150, 1275
151, 1278
152, 1286
153, 1252
154, 1253
155, 1260
156, 1258
157, 1307
158, 1246
159, 1285
160, 1283
161, 1289
162, 1258
163, 1299
164, 1255
165, 1281
166, 1245
167, 1269
168, 1246
169, 1264
170, 1281
171, 1277
172, 1261
173, 1289
174, 1267
175, 1279
176, 1328
177, 1245
178, 1260
179, 1279
180, 1290
181, 1271
182, 1286
183, 1294
184, 1336
185, 1264
186, 1245
187, 1301
188, 1246
189, 1302
190, 1285
191, 1256
192, 1261
193, 1265
194, 1257
195, 1257
196, 1272
197, 1281
198, 1279
199, 1283
200, 1288
201, 1275
202, 1284
203, 1268
204, 1272
205, 1245
206, 1268
207, 1260
208, 1297
209, 1256
210, 1270
211, 1268
212, 1267
213, 1278
214, 1307
215, 1255
216, 1259
217, 1307
218, 1258
219, 1245
220, 1291
221, 1260
222, 1307
223, 1275
224, 1276
225, 1280
226, 1259
227, 1264
228, 1257
229, 1326
230, 1256
231, 1247
232, 1283
233, 1245
234, 1291
235, 1277
236, 1289
237, 1263
238, 1295
239, 1316
240, 1298
241, 1260
242, 1350
243, 1254
244, 1289
245, 1263
246, 1272
247, 1272
248, 1254
249, 1260
250, 1257
251, 1266
252, 1287
253, 1247
254, 1248
255, 1252
256, 1285
257, 1266
258, 1270
259, 1335
260, 1257
261, 1285
262, 1282
263, 1288
264, 1257
265, 1270
266, 1255
267, 1254
268, 1282
269, 1256
270, 1264
271, 1320
272, 1270
273, 1299
274, 1282
275, 1267
276, 1287
277, 1261
278, 1283
279, 1278
280, 1278
281, 1272
282, 1274
283, 1250
284, 1291
285, 1277
286, 1311
287, 1275
288, 1282
289, 1279
290, 1266
291, 1290
292, 1318
293, 1291
294, 1265
295, 1245
296, 1291
297, 1274
298, 1281
299, 1272
300, 1245
301, 1272
302, 1264
303, 1279
304, 1282
305, 1284
306, 1249
307, 1313
308, 1282
309, 1299
310, 1261
311, 1294
312, 1313
313, 1313
314, 1252
315, 1292
316, 1295
317, 1296
318, 1271
319, 1308
320, 1251
321, 1329
322, 1271
323, 1269
324, 1308
325, 1260
326, 1300
327, 1294
328, 1288
329, 1254
330, 1321
331, 1278
332, 1296
333, 1294
334, 1287
335, 1245
336, 1267
337, 1246
338, 1246
339, 1250
340, 1255
341, 1254
342, 1287
343, 1315
344, 1296
345, 1269
346, 1257
347, 1266
348, 1327
349, 1312
350, 1300
351, 1249
352, 1267
353, 1271
354, 1281
355, 1264
356, 1245
357, 1278
358, 1293
359, 1292
360, 1249
361, 1354
362, 1344
363, 1266
364, 1256
365, 1253
366, 1292
367, 1282
368, 1311
369, 1312
370, 1249
371, 1277
372, 1299
373, 1305
374, 1281
375, 1250
376, 1248
377, 1287
378, 1274
379, 1254
380, 1261
381, 1292
382, 1251
383, 1258
384, 1245
385, 1260
386, 1295
387, 1274
388, 1269
389, 1245
390, 1328
391, 1298
392, 1260
393, 1267
394, 1346
395, 1276
396, 1285
397, 1245
398, 1260
399, 1248
400, 1307
401, 1317
402, 1306
403, 1295
404, 1256
405, 1246
406, 1249
407, 1248
408, 1301
409, 1275
410, 1299
411, 1248
412, 1248
413, 1293
414, 1334
415, 1271
416, 1306
417, 1276
418, 1288
419, 1302
420, 1247
421, 1245
422, 1264
423, 1256
424, 1249
425, 1299
426, 1273
427, 1262
428, 1269
429, 1271
430, 1278
431, 1284
432, 1270
433, 1266
434, 1245
435, 1256
436, 1293
437, 1248
438, 1321
439, 1249
440, 1265
441, 1307
442, 1355
443, 1279
444, 1266
445, 1260
446, 1244
447, 1254
448, 1276
449, 1318
450, 1286
451, 1292
452, 1285
453, 1278
454, 1274
455, 1250
456, 1265
457, 1272
458, 1246
459, 1279
460, 1259
461, 1262
462, 1259
463, 1261
464, 1247
465, 1281
466, 1298
467, 1256
468, 1282
469, 1257
470, 1270
471, 1251
472, 1312
473, 1248
474, 1299
475, 1245
476, 1307
477, 1252
478, 1270
479, 1245
480, 1278
481, 1290
482, 1268
483, 1272
484, 1246
485, 1301
486, 1273
487, 1245
488, 1278
489, 1267
490, 1273
491, 1246
492, 1245
493, 1250
494, 1246
495, 1250
496, 1272
497, 1247
498, 1268
499, 1263
500, 1281
501, 1311
502, 1245
503, 1274
504, 1262
505, 1266
506, 1274
507, 1283
508, 1275
509, 1264
510, 1261
511, 1252
512, 1287
513, 1253
514, 1251
515, 1257
516, 1247
517, 1269
518, 1267
519, 1252
520, 1254
521, 1252
522, 1265
523, 1277
524, 1298
525, 1283
526, 1258
527, 1271
528, 1275
529, 1283
530, 1266
531, 1252
532, 1246
533, 1250
534, 1321
535, 1269
536, 1283
537, 1247
538, 1247
539, 1293
540, 1286
541, 1262
542, 1255
543, 1256
544, 1268
545, 1263
546, 1244
547, 1254
548, 1261
549, 1291
550, 1288
551, 1261
552, 1256
553, 1259
554, 1282
555, 1261
556, 1253
557, 1255
558, 1269
559, 1245
560, 1265
561, 1277
562, 1265
563, 1254
564, 1275
565, 1277
566, 1322
567, 1295
568, 1254
569, 1274
570, 1267
571, 1282
572, 1250
573, 1263
574, 1270
575, 1246
576, 1300
577, 1260
578, 1255
579, 1272
580, 1253
581, 1299
582, 1338
583, 1255
584, 1253
585, 1254
586, 1246
587, 1267
588, 1255
589, 1277
590, 1297
591, 1257
592, 1268
593, 1247
594, 1245
595, 1294
596, 1337
597, 1273
598, 1275
599, 1300
600, 1254
601, 1246
602, 1249
603, 1245
604, 1249
605, 1264
606, 1244
607, 1275
608, 1269
609, 1312
610, 1262
611, 1264
612, 1253
613, 1247
614, 1279
615, 1276
616, 1264
617, 1256
618, 1253
619, 1258
620, 1281
621, 1244
622, 1275
623, 1251
624, 1278
625, 1255
626, 1284
627, 1277
628, 1283
629, 1253
630, 1300
631, 1285
632, 1266
633, 1258
634, 1255
635, 1303
636, 1282
637, 1250
638, 1266
639, 1271
640, 1271
641, 1280
642, 1251
643, 1300
644, 1262
645, 1277
646, 1245
647, 1265
648, 1340
649, 1248
650, 1303
651, 1250
652, 1308
653, 1269
654, 1285
655, 1285
656, 1278
657, 1263
658, 1273
659, 1286
660, 1245
661, 1266
662, 1269
663, 1272
664, 1269
665, 1304
666, 1244
667, 1252
668, 1287
669, 1258
670, 1269
671, 1246
672, 1257
