Id, Latency
1, 1244
2, 1247
3, 1251
4, 1277
5, 1243
6, 1281
7, 1264
8, 1257
9, 1257
10, 1243
11, 1262
12, 1274
13, 1246
14, 1243
15, 1258
16, 1243
17, 1291
18, 1244
19, 1259
20, 1244
21, 1244
22, 1276
23, 1249
24, 1247
25, 1264
26, 1243
27, 1287
28, 1243
29, 1244
30, 1244
31, 1243
32, 1271
33, 1243
34, 1244
35, 1257
36, 1247
37, 1260
38, 1244
39, 1264
40, 1253
41, 1276
42, 1245
43, 1297
44, 1247
45, 1263
46, 1246
47, 1243
48, 1270
49, 1257
50, 1263
51, 1246
52, 1244
53, 1244
54, 1243
55, 1320
56, 1246
57, 1263
58, 1244
59, 1245
60, 1287
61, 1258
62, 1263
63, 1249
64, 1276
65, 1243
66, 1257
67, 1274
68, 1248
69, 1247
70, 1287
71, 1248
72, 1261
73, 1243
74, 1252
75, 1251
76, 1277
77, 1259
78, 1246
79, 1307
80, 1283
81, 1249
82, 1247
83, 1309
84, 1295
85, 1252
86, 1271
87, 1260
88, 1256
89, 1243
90, 1275
91, 1253
92, 1258
93, 1266
94, 1314
95, 1244
96, 1246
97, 1260
98, 1311
99, 1251
100, 1260
101, 1325
102, 1274
103, 1260
104, 1243
105, 1243
106, 1245
107, 1264
108, 1290
109, 1313
110, 1327
111, 1256
112, 1290
113, 1266
114, 1263
115, 1314
116, 1317
117, 1284
118, 1250
119, 1255
120, 1250
121, 1275
122, 1245
123, 1288
124, 1244
125, 1317
126, 1267
127, 1264
128, 1248
129, 1266
130, 1251
131, 1271
132, 1284
133, 1290
134, 1386
135, 1267
136, 1290
137, 1452
138, 1246
139, 1245
140, 1316
141, 1270
142, 1289
143, 1256
144, 1251
145, 1294
146, 1264
147, 1256
148, 1334
149, 1246
150, 1245
151, 1300
152, 1272
153, 1265
154, 1279
155, 1289
156, 1279
157, 1288
158, 1245
159, 1288
160, 1259
161, 1265
162, 1267
163, 1293
164, 1302
165, 1267
166, 1293
167, 1247
168, 1325
169, 1259
170, 1327
171, 1283
172, 1265
173, 1263
174, 1299
175, 1274
176, 1281
177, 1270
178, 1245
179, 1259
180, 1282
181, 1275
182, 1321
183, 1263
184, 1272
185, 1289
186, 1255
187, 1299
188, 1251
189, 1288
190, 1265
191, 1283
192, 1260
193, 1282
194, 1284
195, 1327
196, 1277
197, 1287
198, 1271
199, 1266
200, 1301
201, 1287
202, 1257
203, 1286
204, 1267
205, 1244
206, 1335
207, 1275
208, 1283
209, 1249
210, 1305
211, 1275
212, 1321
213, 1246
214, 1256
215, 1340
216, 1284
217, 1262
218, 1252
219, 1268
220, 1263
221, 1295
222, 1302
223, 1267
224, 1259
225, 1297
226, 1245
227, 1245
228, 1268
229, 1255
230, 1289
231, 1267
232, 1246
233, 1246
234, 1299
235, 1329
236, 1261
237, 1260
238, 1244
239, 1267
240, 1256
241, 1283
242, 1266
243, 1287
244, 1249
245, 1266
246, 1297
247, 1301
248, 1247
249, 1245
250, 1283
251, 1309
252, 1288
253, 1247
254, 1285
255, 1259
256, 1273
257, 1289
258, 1296
259, 1299
260, 1275
261, 1263
262, 1282
263, 1250
264, 1253
265, 1245
266, 1260
267, 1290
268, 1249
269, 1273
270, 1282
271, 1286
272, 1284
273, 1267
274, 1282
275, 1268
276, 1324
277, 1293
278, 1253
279, 1267
280, 1274
281, 1255
282, 1302
283, 1328
284, 1244
285, 1284
286, 1337
287, 1250
288, 1251
289, 1258
290, 1301
291, 1245
292, 1324
293, 1288
294, 1331
295, 1292
296, 1246
297, 1298
298, 1279
299, 1248
300, 1283
301, 1310
302, 1275
303, 1270
304, 1286
305, 1265
306, 1256
307, 1290
308, 1266
309, 1282
310, 1248
311, 1311
312, 1280
313, 1287
314, 1253
315, 1273
316, 1336
317, 1303
318, 1283
319, 1245
320, 1288
321, 1297
322, 1374
323, 1297
324, 1263
325, 1257
326, 1285
327, 1269
328, 1249
329, 1258
330, 1267
331, 1288
332, 1292
333, 1255
334, 1326
335, 1260
336, 1258
337, 1262
338, 1301
339, 1283
340, 1258
341, 1298
342, 1269
343, 1294
344, 1269
345, 1270
346, 1269
347, 1314
348, 1247
349, 1286
350, 1273
351, 1276
352, 1264
353, 1292
354, 1256
355, 1320
356, 1272
357, 1289
358, 1259
359, 1274
360, 1264
361, 1347
362, 1258
363, 1289
364, 1287
365, 1276
366, 1245
367, 1247
368, 1246
369, 1246
370, 1271
371, 1258
372, 1254
373, 1260
374, 1267
375, 1253
376, 1271
377, 1291
378, 1260
379, 1340
380, 1332
381, 1277
382, 1282
383, 1292
384, 1280
385, 1271
386, 1251
387, 1247
388, 1290
389, 1328
390, 1315
391, 1278
392, 1274
393, 1308
394, 1265
395, 1284
396, 1293
397, 1282
398, 1307
399, 1269
400, 1292
401, 1284
402, 1274
403, 1284
404, 1259
405, 1296
406, 1288
407, 1281
408, 1247
409, 1289
410, 1266
411, 1332
412, 1267
413, 1275
414, 1289
415, 1274
416, 1257
417, 1262
418, 1347
419, 1344
420, 1270
421, 1290
422, 1290
423, 1297
424, 1274
425, 1309
426, 1263
427, 1262
428, 1263
429, 1270
430, 1265
431, 1267
432, 1294
433, 1269
434, 1289
435, 1273
436, 1248
437, 1276
438, 1256
439, 1269
440, 1267
441, 1277
442, 1279
443, 1268
444, 1262
445, 1264
446, 1302
447, 1264
448, 1295
449, 1273
450, 1250
451, 1322
452, 1266
453, 1288
454, 1299
455, 1253
456, 1335
457, 1311
458, 1289
459, 1300
460, 1297
461, 1260
462, 1302
463, 1269
464, 1288
465, 1276
466, 1326
467, 1288
468, 1299
469, 1255
470, 1324
471, 1284
472, 1265
473, 1273
474, 1336
475, 1304
476, 1295
477, 1294
478, 1283
479, 1297
480, 1270
481, 1259
482, 1250
483, 1267
484, 1246
485, 1281
486, 1294
487, 1260
488, 1336
489, 1270
490, 1261
491, 1252
492, 1245
493, 1335
494, 1251
495, 1267
496, 1269
497, 1312
498, 1289
499, 1274
500, 1279
501, 1286
502, 1262
503, 1255
504, 1246
505, 1268
506, 1249
507, 1247
508, 1247
509, 1259
510, 1297
511, 1245
512, 1255
513, 1249
514, 1263
515, 1245
516, 1288
517, 1283
518, 1245
519, 1272
520, 1293
521, 1260
522, 1257
523, 1257
524, 1282
525, 1257
526, 1247
527, 1249
528, 1271
529, 1247
530, 1343
531, 1265
532, 1299
533, 1261
534, 1260
535, 1297
536, 1303
537, 1263
538, 1271
539, 1268
540, 1258
541, 1254
542, 1253
543, 1262
544, 1266
545, 1269
546, 1285
547, 1275
548, 1299
549, 1276
550, 1245
551, 1284
