Id, Latency
1, 1280
2, 1276
3, 1281
4, 1277
5, 1291
6, 1279
7, 1289
8, 1320
9, 1280
10, 1310
11, 1278
12, 1281
13, 1325
14, 1278
15, 1277
16, 1279
17, 1284
18, 1277
19, 1291
20, 1301
21, 1279
22, 1308
23, 1382
24, 1293
25, 1308
26, 1277
27, 1281
28, 1302
29, 1279
30, 1278
31, 1309
32, 1277
33, 1279
34, 1303
35, 1278
36, 1289
37, 1277
38, 1301
39, 1349
40, 1279
41, 1278
42, 1379
43, 1286
44, 1284
45, 1275
46, 1277
47, 1281
48, 1281
49, 1282
50, 1279
51, 1282
52, 1275
53, 1319
54, 1280
55, 1279
56, 1314
57, 1280
58, 1276
59, 1366
60, 1281
61, 1324
62, 1287
63, 1294
64, 1280
65, 1403
66, 1306
67, 1302
68, 1295
69, 1278
70, 1279
71, 1277
72, 1368
73, 1283
74, 1289
75, 1281
76, 1306
77, 1286
78, 1307
79, 1276
80, 1349
81, 1285
82, 1311
83, 1322
84, 1283
85, 1297
86, 1316
87, 1278
88, 1308
89, 1322
90, 1278
91, 1339
92, 1283
93, 1285
94, 1293
95, 1287
96, 1324
97, 1286
98, 1278
99, 1294
100, 1289
101, 1283
102, 1282
103, 1290
104, 1281
105, 1279
106, 1283
107, 1316
108, 1315
109, 1331
110, 1283
111, 1293
112, 1328
113, 1312
114, 1292
115, 1294
116, 1287
117, 1287
118, 1294
119, 1280
120, 1294
121, 1279
122, 1342
123, 1283
124, 1342
125, 1336
126, 1278
127, 1286
128, 1279
129, 1304
130, 1313
131, 1286
132, 1278
133, 1298
134, 1280
135, 1308
136, 1278
137, 1286
138, 1295
139, 1291
140, 1294
141, 1282
142, 1304
143, 1282
144, 1288
145, 1331
146, 1294
147, 1285
148, 1300
149, 1303
150, 1305
151, 1308
152, 1278
153, 1316
154, 1291
155, 1319
156, 1276
157, 1279
158, 1284
159, 1290
160, 1318
161, 1311
162, 1299
163, 1336
164, 1298
165, 1284
166, 1298
167, 1303
168, 1316
169, 1283
170, 1297
171, 1299
172, 1297
173, 1312
174, 1313
175, 1299
176, 1288
177, 1310
178, 1302
179, 1342
180, 1279
181, 1284
182, 1280
183, 1301
184, 1287
185, 1304
186, 1305
187, 1355
188, 1362
189, 1285
190, 1306
191, 1281
192, 1288
193, 1304
194, 1287
195, 1346
196, 1297
197, 1328
198, 1299
199, 1283
200, 1296
201, 1293
202, 1293
203, 1305
204, 1277
205, 1290
206, 1291
207, 1286
208, 1297
209, 1282
210, 1306
211, 1276
212, 1301
213, 1312
214, 1290
215, 1300
216, 1292
217, 1289
218, 1308
219, 1377
220, 1291
221, 1284
222, 1286
223, 1322
224, 1324
225, 1329
226, 1298
227, 1288
228, 1293
229, 1313
230, 1303
231, 1284
232, 1330
233, 1295
234, 1280
235, 1330
236, 1292
237, 1326
238, 1280
239, 1283
240, 1291
241, 1282
242, 1303
243, 1313
244, 1315
245, 1330
246, 1285
247, 1274
248, 1302
249, 1298
250, 1333
251, 1284
252, 1280
253, 1286
254, 1289
255, 1377
256, 1279
257, 1287
258, 1293
259, 1319
260, 1279
261, 1293
262, 1314
263, 1315
264, 1343
265, 1289
266, 1349
267, 1278
268, 1287
269, 1287
270, 1291
271, 1309
272, 1301
273, 1279
274, 1280
275, 1290
