Id, Latency
1, 456
2, 451
3, 445
4, 448
5, 450
6, 451
7, 472
8, 443
9, 446
10, 450
11, 447
12, 488
13, 465
14, 546
15, 506
16, 452
17, 495
18, 449
19, 478
20, 452
21, 487
22, 446
23, 446
24, 447
25, 489
26, 446
27, 457
28, 468
29, 459
30, 445
31, 478
32, 487
33, 449
34, 463
35, 449
36, 458
37, 446
38, 473
39, 463
40, 461
41, 491
42, 443
43, 503
44, 465
45, 454
46, 457
47, 467
48, 454
49, 456
50, 452
51, 467
52, 475
53, 477
54, 457
55, 492
56, 488
57, 449
58, 477
59, 504
60, 448
61, 447
62, 480
63, 451
64, 493
65, 448
66, 454
67, 446
68, 452
69, 479
70, 447
71, 449
72, 452
73, 459
74, 467
75, 462
76, 471
77, 451
78, 458
79, 480
80, 453
81, 468
82, 488
83, 459
84, 447
85, 483
86, 503
87, 541
88, 448
89, 475
90, 444
91, 471
92, 444
93, 445
94, 520
95, 458
96, 452
97, 449
98, 488
99, 473
100, 448
101, 467
102, 454
103, 498
104, 446
105, 468
106, 457
107, 474
108, 488
109, 470
110, 469
111, 449
112, 471
113, 474
114, 491
115, 509
116, 466
117, 459
118, 478
119, 471
120, 450
121, 469
122, 474
123, 456
124, 469
125, 446
126, 471
127, 593
128, 446
129, 480
130, 460
131, 470
132, 458
133, 453
134, 465
135, 445
136, 513
137, 462
138, 456
139, 477
140, 522
141, 480
142, 465
143, 526
144, 461
145, 476
146, 486
147, 478
148, 456
149, 479
150, 490
151, 473
152, 471
153, 473
154, 453
155, 486
156, 447
157, 473
158, 490
159, 461
160, 486
161, 451
162, 512
163, 462
164, 448
165, 463
166, 456
167, 449
168, 482
169, 457
170, 470
171, 464
172, 449
173, 471
174, 472
175, 451
176, 495
177, 451
178, 517
179, 462
180, 530
181, 484
182, 452
183, 469
184, 456
185, 477
186, 508
187, 457
188, 453
189, 500
190, 450
191, 445
192, 449
193, 451
194, 476
195, 462
196, 461
197, 509
198, 494
199, 463
200, 463
201, 512
202, 610
203, 533
204, 475
205, 475
206, 453
207, 450
208, 471
209, 478
210, 449
211, 499
212, 443
213, 464
214, 486
215, 471
216, 452
217, 473
218, 495
219, 467
220, 505
221, 495
222, 507
223, 447
224, 450
225, 495
226, 475
227, 464
228, 467
229, 472
230, 457
231, 457
232, 462
233, 449
234, 445
235, 452
236, 484
237, 503
238, 473
239, 467
240, 451
241, 452
242, 464
243, 472
244, 503
245, 468
246, 501
247, 469
248, 461
249, 502
250, 496
251, 449
252, 464
253, 461
254, 454
255, 459
256, 464
257, 457
258, 469
259, 464
260, 497
261, 459
262, 509
263, 483
264, 447
265, 507
266, 466
267, 461
268, 496
269, 452
270, 483
271, 461
272, 448
273, 451
274, 480
275, 490
276, 489
277, 492
278, 511
279, 460
280, 461
281, 491
282, 475
283, 459
284, 494
285, 480
286, 533
287, 565
288, 472
289, 474
290, 522
291, 478
292, 521
293, 488
294, 490
295, 484
296, 478
297, 462
298, 456
